OPPORTUNITY_ID,REGIONAL_OFFICE,PRODUCT_NAME,ESTIMATED_DEAL_VALUE,ESTIMATED_DEAL_SIZE_BAND,DEAL_AGE_DAYS,PIPELINE_STATUS,AGE_BUCKET,BASE_WIN_RATE_BY_SIZE,AGE_MULTIPLIER,ADJUSTED_CLOSE_PROBABILITY,EXPECTED_REVENUE_90D,IS_AT_RISK_FLAG
DWUXMAGZ,East,GTX Plus Pro,5482.00,medium,379,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
6SN2RQJX,West,MG Special,55.00,small,379,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
NKPH3EFG,East,MG Advanced,3393.00,small,378,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
N07K7DR7,East,MG Special,55.00,small,378,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
125VIRMX,West,GTK 500,26768.00,large,377,open,stale,0.600000,0.35,0.21000000,5621.2800000000,1
3ECHUPQY,East,GTX Plus Basic,1096.00,small,376,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
K5CWSFCW,West,GTXPro,0.00,unknown,375,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
4H2QMS78,West,GTX Basic,550.00,small,375,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
SQLYCFGV,West,GTXPro,0.00,unknown,374,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
EUG019AS,East,GTX Basic,550.00,small,373,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
IE7VQ5BA,East,GTX Plus Basic,1096.00,small,373,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
AI76U58A,West,GTX Basic,550.00,small,371,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
KFPM2LJW,West,GTX Basic,550.00,small,371,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
B00UMAV4,West,MG Advanced,3393.00,small,370,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
C8TV7R8A,West,GTXPro,0.00,unknown,370,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
2VCDVCIZ,West,GTX Basic,550.00,small,369,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
0U3WVJO0,East,GTXPro,0.00,unknown,368,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
PMMW9JX3,West,GTX Basic,550.00,small,368,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
2HT2R2GY,East,GTX Plus Pro,5482.00,medium,367,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
13GM5I6M,West,GTXPro,0.00,unknown,367,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
9IA34L8S,West,GTX Basic,550.00,small,367,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
5T8Q2YID,West,MG Special,55.00,small,364,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
BTT6YAVZ,West,GTX Plus Basic,1096.00,small,364,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
O7UUAK3Y,East,GTX Plus Basic,1096.00,small,363,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
TLOHEQ18,East,GTX Plus Basic,1096.00,small,363,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
EWDOBEM6,West,MG Special,55.00,small,362,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
QM6VR1H5,East,GTX Plus Pro,5482.00,medium,361,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
QR2BDRAI,West,MG Advanced,3393.00,small,361,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
Z75ND4JF,West,GTX Basic,550.00,small,361,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
CGWJ1WHI,East,MG Special,55.00,small,361,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
M16D8PYH,East,GTX Plus Pro,5482.00,medium,360,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
VPXW8RJS,West,MG Advanced,3393.00,small,360,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
T7T1YIM7,East,GTX Plus Pro,5482.00,medium,359,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
4JHY98UG,East,GTX Basic,550.00,small,358,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
G39V1X3G,East,MG Special,55.00,small,358,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
EQCD7G7Q,West,GTX Basic,550.00,small,357,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
XYNTWPN1,East,MG Special,55.00,small,357,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
6Q67ZUJ1,West,MG Special,55.00,small,356,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
Y6UBZM6P,West,GTX Plus Pro,5482.00,medium,356,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
RIW4VWBW,West,GTX Plus Pro,5482.00,medium,355,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
DWUD4S0P,West,GTX Basic,550.00,small,355,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
MCE5DKD1,West,MG Special,55.00,small,355,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
RW39Y63V,West,GTXPro,0.00,unknown,355,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
8LW65NDL,East,GTX Plus Pro,5482.00,medium,355,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
CJ2ON1LV,East,GTXPro,0.00,unknown,354,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
4I8X7EMW,East,GTXPro,0.00,unknown,354,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
LMOAYCUK,West,GTX Plus Basic,1096.00,small,354,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
VCSHYIU8,West,GTX Plus Basic,1096.00,small,353,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
0I6U3MQ6,East,GTX Basic,550.00,small,353,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
WRUG19FZ,West,MG Advanced,3393.00,small,352,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
UQQE9ILV,West,GTXPro,0.00,unknown,352,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
W8CXDBQN,West,MG Special,55.00,small,352,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
VKT0UN11,West,MG Advanced,3393.00,small,351,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
JIACLB24,West,GTX Basic,550.00,small,351,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
5VYJCJAE,East,GTX Plus Pro,5482.00,medium,350,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
BTUG5VDL,East,GTXPro,0.00,unknown,350,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
CT3HBBI2,West,MG Special,55.00,small,350,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
GR2X90DZ,West,GTX Basic,550.00,small,350,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
S3W6Q07M,West,GTX Plus Pro,5482.00,medium,349,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
K64TY8LU,West,MG Special,55.00,small,349,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
0OESOJNN,West,GTX Plus Basic,1096.00,small,348,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
DZ57QIQN,East,GTX Plus Pro,5482.00,medium,347,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
OZ5S8NCK,West,GTXPro,0.00,unknown,347,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
A4JROIDO,West,MG Special,55.00,small,346,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
PMEENWD5,East,GTXPro,0.00,unknown,344,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
Z1WLLL1H,West,GTX Basic,550.00,small,344,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
ETZKANFZ,West,GTX Basic,550.00,small,344,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
PK1PS0KR,East,MG Advanced,3393.00,small,343,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
RPONINLM,West,GTX Plus Basic,1096.00,small,342,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
F569KUVC,West,GTX Basic,550.00,small,341,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
PKDJTR06,West,GTX Plus Basic,1096.00,small,341,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
VYPYVO8V,West,GTX Basic,550.00,small,341,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
1D54L027,East,MG Advanced,3393.00,small,340,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
CENVLTFH,East,GTX Plus Basic,1096.00,small,337,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
4NGSQODD,West,GTXPro,0.00,unknown,337,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
5BE27MLY,West,GTXPro,0.00,unknown,337,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
N5UIZYIV,West,MG Special,55.00,small,337,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
KBR253C0,West,MG Advanced,3393.00,small,336,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
379DUF2N,West,GTX Basic,550.00,small,336,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
67IKZGGJ,West,GTX Plus Basic,1096.00,small,336,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
8YIANRVX,West,GTXPro,0.00,unknown,336,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
A7SA2L21,West,GTK 500,26768.00,large,335,open,stale,0.600000,0.35,0.21000000,5621.2800000000,1
9W7PFSNX,East,GTX Basic,550.00,small,334,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
XYLNH45V,East,GTX Plus Basic,1096.00,small,334,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
GVBWTDI3,East,GTX Plus Basic,1096.00,small,334,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
VFEV5XBS,East,GTX Plus Basic,1096.00,small,334,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
VN8LKQN3,East,GTX Plus Basic,1096.00,small,332,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
ZHY9C8OO,West,GTX Plus Basic,1096.00,small,332,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
H2MC2E7K,West,GTX Plus Basic,1096.00,small,332,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
OCGXWE8H,West,MG Special,55.00,small,331,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
USVLKDF4,East,GTX Basic,550.00,small,330,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
JCPQZ2SN,West,GTX Plus Basic,1096.00,small,330,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
HZIU2NOT,West,GTX Plus Pro,5482.00,medium,330,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
YM8DBAFV,East,GTX Basic,550.00,small,329,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
RP7KA6HS,West,MG Special,55.00,small,329,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
P9PFSLS6,West,MG Special,55.00,small,329,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
E4THD359,East,GTX Basic,550.00,small,329,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
6VIK2VX8,West,MG Special,55.00,small,328,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
30R81VZX,West,GTXPro,0.00,unknown,328,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
TH9RV79M,West,MG Special,55.00,small,328,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
7VOW7BUJ,East,GTXPro,0.00,unknown,327,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
2J5E145N,East,GTXPro,0.00,unknown,327,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
YFB7Y92U,West,GTK 500,26768.00,large,327,open,stale,0.600000,0.35,0.21000000,5621.2800000000,1
S6645YWA,West,GTX Basic,550.00,small,327,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
B5A1BERF,West,GTXPro,0.00,unknown,327,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
IEAPJ5X1,West,GTX Plus Basic,1096.00,small,327,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
L2S4T3VA,East,GTX Plus Pro,5482.00,medium,326,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
AF8NG5JC,East,MG Special,55.00,small,326,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
IVJP36UT,East,MG Advanced,3393.00,small,326,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
9A9E1KPG,West,GTX Basic,550.00,small,326,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
TF19VML9,West,GTX Plus Basic,1096.00,small,326,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
ZHXIDZNI,West,GTXPro,0.00,unknown,326,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
5P3NH791,East,MG Advanced,3393.00,small,324,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
X3ZSQCH8,West,GTX Basic,550.00,small,324,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
5BXUKFPR,West,GTX Plus Pro,5482.00,medium,323,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
8AJG1YLJ,West,GTX Basic,550.00,small,323,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
5RNWV17L,West,MG Advanced,3393.00,small,323,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
LXM6CTMS,West,GTX Plus Basic,1096.00,small,322,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
VXMFL425,West,GTX Basic,550.00,small,322,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
E887HZT1,West,MG Advanced,3393.00,small,322,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
CGJ7NRZH,East,MG Special,55.00,small,322,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
SWJ9OOZU,West,MG Advanced,3393.00,small,321,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
B06D1F9M,West,GTXPro,0.00,unknown,321,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
OZ761BUJ,East,GTX Basic,550.00,small,321,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
SCS5H8V1,West,GTK 500,26768.00,large,320,open,stale,0.600000,0.35,0.21000000,5621.2800000000,1
81MXE1H7,West,MG Advanced,3393.00,small,320,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
W24IDMVV,East,GTX Plus Pro,5482.00,medium,319,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
JQA8H6M5,West,GTX Plus Pro,5482.00,medium,319,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
92G1TO7L,West,GTX Basic,550.00,small,319,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
FW2XJG9S,West,GTX Plus Basic,1096.00,small,319,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
SVCKI631,West,GTX Basic,550.00,small,319,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
VJ5QGP8Z,West,MG Advanced,3393.00,small,319,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
R2W96FGX,West,GTX Basic,550.00,small,319,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
KM1D04JS,West,GTX Plus Basic,1096.00,small,318,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
BNY8MJ6L,West,GTX Basic,550.00,small,318,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
INBGKE14,West,GTXPro,0.00,unknown,318,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
5KK2SSSB,East,GTX Basic,550.00,small,318,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
V3HVIJLL,West,GTX Basic,550.00,small,318,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
AMNKCM1H,West,MG Special,55.00,small,317,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
84LN84VM,West,MG Advanced,3393.00,small,317,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
MU7JWTP6,East,MG Special,55.00,small,316,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
9HRMW8SL,East,MG Special,55.00,small,315,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
WJQ8VD51,West,GTX Basic,550.00,small,315,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
1WHXI2RW,West,GTX Plus Basic,1096.00,small,315,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
G5JP0G7Q,West,MG Advanced,3393.00,small,315,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
RVH3UUKY,West,MG Advanced,3393.00,small,315,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
CG9VXPV1,West,GTX Basic,550.00,small,315,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
CYWZJ2AI,West,GTX Plus Basic,1096.00,small,314,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
Y7N97FW8,West,GTXPro,0.00,unknown,314,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
0IO43YMS,East,MG Advanced,3393.00,small,314,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
6HG76L6U,East,GTXPro,0.00,unknown,313,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
9SLINQY5,West,MG Advanced,3393.00,small,313,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
1GIP77EP,West,GTX Plus Pro,5482.00,medium,313,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
NOLCZMV6,East,GTXPro,0.00,unknown,313,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
B4SIVH1O,East,GTX Basic,550.00,small,312,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
ESZY10SI,West,MG Advanced,3393.00,small,312,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
Y3CYQGPH,West,GTX Basic,550.00,small,312,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
Q19RWR17,West,GTX Basic,550.00,small,312,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
6PW6ZQEE,East,GTX Basic,550.00,small,311,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
4E5A84H1,West,MG Advanced,3393.00,small,311,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
03VCDZEE,West,GTXPro,0.00,unknown,311,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
7ONH55WT,East,GTX Basic,550.00,small,310,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
CMKXOOJQ,East,GTX Basic,550.00,small,310,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
NR947OAB,West,GTXPro,0.00,unknown,310,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
LMKNU8IZ,West,GTXPro,0.00,unknown,310,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
R5RSH4JV,East,GTX Plus Pro,5482.00,medium,309,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
X1D1HYMM,West,GTX Plus Pro,5482.00,medium,309,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
GVYF29NM,East,MG Advanced,3393.00,small,309,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
DN6SG3US,East,GTX Plus Pro,5482.00,medium,309,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
EW28ZONV,West,GTX Plus Basic,1096.00,small,309,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
9E8A7MQ8,West,GTX Plus Pro,5482.00,medium,308,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
HVZMZW96,West,GTX Plus Basic,1096.00,small,308,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
1H1YDS7C,West,GTX Plus Basic,1096.00,small,308,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
FZC2J90W,West,MG Advanced,3393.00,small,308,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
UI3DE2C4,West,GTX Plus Basic,1096.00,small,308,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
25FUROM1,East,GTX Plus Basic,1096.00,small,307,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
9X2S0K15,West,MG Advanced,3393.00,small,307,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
XRZVJPD5,West,GTX Plus Basic,1096.00,small,307,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
QDGUWTLU,West,MG Special,55.00,small,307,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
JSZZN48S,West,GTX Plus Pro,5482.00,medium,306,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
F2B62IW4,West,MG Special,55.00,small,306,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
DEHQTB8B,East,MG Special,55.00,small,305,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
KVR52YDI,East,GTXPro,0.00,unknown,305,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
STT3X4NB,East,GTX Basic,550.00,small,305,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
XRDF1NAB,West,GTXPro,0.00,unknown,305,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
WUNMIJW9,West,MG Advanced,3393.00,small,304,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
4V9NMGEA,West,GTX Basic,550.00,small,304,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
4CXUC4VR,West,GTX Basic,550.00,small,304,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
79EHWR35,West,GTX Basic,550.00,small,304,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
L0GMLGRR,West,MG Special,55.00,small,304,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
D3ZC338T,West,GTX Basic,550.00,small,304,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
QRQ8C6MQ,East,GTXPro,0.00,unknown,303,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
ZG8WPG99,West,GTXPro,0.00,unknown,303,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
U7M26UZV,West,MG Special,55.00,small,303,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
TV300INP,East,GTX Plus Pro,5482.00,medium,303,open,stale,0.707048,0.35,0.24746680,1356.6129976000,1
KBQ16F1I,West,GTX Basic,550.00,small,303,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
FYN7C0CV,East,MG Advanced,3393.00,small,302,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
5JDWBOLS,East,GTX Basic,550.00,small,302,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
7TI1WTV9,West,GTXPro,0.00,unknown,302,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
01EH41WA,West,GTXPro,0.00,unknown,302,open,stale,0.631501,0.35,0.22102535,0.0000000000,1
71GQNH5T,East,MG Advanced,3393.00,small,301,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
LSA39JBG,East,GTX Basic,550.00,small,301,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
AKTPC3M1,West,GTX Basic,550.00,small,301,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
JA5G7YBO,West,MG Special,55.00,small,301,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
CZ8PPZTC,East,MG Special,55.00,small,301,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
YQ0Y0YQS,East,MG Advanced,3393.00,small,301,open,stale,0.668097,0.35,0.23383395,793.3985923500,1
5Z8S8UHK,East,GTX Basic,550.00,small,300,open,stale,0.668097,0.35,0.23383395,128.6086725000,1
NMKAJZJ4,West,MG Special,55.00,small,300,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
SX0SSL0H,East,GTX Plus Basic,1096.00,small,300,open,stale,0.668097,0.35,0.23383395,256.2820092000,1
I7BWM5O0,East,MG Special,55.00,small,300,open,stale,0.668097,0.35,0.23383395,12.8608672500,1
